date_reported,clsd,offense,location,theft_code,hate_bias,dayofweek,cpd_neighborhood,weapons,victim_age,victim_race,suspect_age,suspect_race
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,31-40,UNKNOWN,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,31-40,UNKNOWN,UNKNOWN,NA
2/3/2019 17:30,J--CLOSED,THEFT,40-OTHER RETAIL STORE,23B-PURSE-SNATCHING,N--NO BIAS/NOT APPLICABLE,SUNDAY,CORRYVILLE,99 - NONE,61-70,BLACK,UNKNOWN,NA
2/17/2019 12:20,Z--EARLY CLOSED,BREAKING AND ENTERING,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,MONDAY,WEST PRICE HILL,99 - NONE,41-50,WHITE,UNKNOWN,NA
1/14/2019 3:18,F--CLEARED BY ARREST - ADULT,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,PADDOCK  HILLS,99 - NONE,ADULT (18+),WHITE,UNKNOWN,NA
4/9/2019 23:08,I--INVESTIGATION PENDING,ASSAULT,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,NA,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",18-25,BLACK,26-30,BLACK
2/1/2019 8:48,D--VICTIM REFUSED TO COOPERATE,TELEPHONE HARASSMENT,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,FRIDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,WHITE,26-30,WHITE
1/14/2019 6:30,K--UNFOUNDED,RAPE,02-MULTI FAMILY,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,PADDOCK  HILLS,99 - NONE,ADULT (18+),WHITE,18-25,BLACK
1/19/2019 12:46,J--CLOSED,RAPE,01-SINGLE FAMILY HOME,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,OAKLEY,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,UNKNOWN,NA
2/22/2019 0:30,J--CLOSED,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,AVONDALE,12 - HANDGUN,ADULT (18+),WHITE,UNKNOWN,NA
2/14/2019 14:40,F--CLEARED BY ARREST - ADULT,ASSAULT,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,THURSDAY,CLIFTON,99 - NONE,61-70,BLACK,UNKNOWN,NA
2/3/2019 5:15,D--VICTIM REFUSED TO COOPERATE,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,SOUTH  FAIRMOUNT,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,18-25,WHITE
4/3/2019 20:43,G--CLEARED BY ARREST - JUVENILE,AGGRAVATED ROBBERY,49-PARK/PLAYGROUND,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,EAST PRICE HILL,U - UNKNOWN,UNDER 18,WHITE,UNKNOWN,NA
4/3/2019 20:43,G--CLEARED BY ARREST - JUVENILE,AGGRAVATED ROBBERY,49-PARK/PLAYGROUND,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,EAST PRICE HILL,U - UNKNOWN,UNDER 18,WHITE,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,26-30,UNKNOWN,UNKNOWN,NA
2/12/2019 10:07,J--CLOSED,RAPE,29-GAS STATION,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,CAMP  WASHINGTON,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,UNKNOWN,NA
4/9/2019 9:05,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,MONDAY,EAST WALNUT HILLS,99 - NONE,18-25,ASIAN/PACIFIC ISLAND,UNKNOWN,NA
4/5/2019 9:30,G--CLEARED BY ARREST - JUVENILE,RAPE,08-SCHOOL,NA,N--NO BIAS/NOT APPLICABLE,FRIDAY,HYDE PARK,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",JUVENILE (UNDER 18),BLACK,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,51-60,UNKNOWN,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,51-60,UNKNOWN,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,26-30,UNKNOWN,UNKNOWN,NA
1/21/2019 11:35,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,WALNUT HILLS,99 - NONE,51-60,WHITE,UNKNOWN,NA
1/13/2019 17:36,D--VICTIM REFUSED TO COOPERATE,RAPE,02-MULTI FAMILY APARTMENT,NA,12--ANTI-BLACK,TUESDAY,CLIFTON,99 - NONE,ADULT (18+),BLACK,OVER 70,BLACK
3/25/2019 22:22,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,MONDAY,WESTWOOD,99 - NONE,31-40,BLACK,UNKNOWN,NA
3/6/2019 8:00,K--UNFOUNDED,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,SOUTH  FAIRMOUNT,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),BLACK,18-25,UNKNOWN
4/10/2019 19:45,F--CLEARED BY ARREST - ADULT,DOMESTIC VIOLENCE,02-MULTI FAMILY,NA,88--DOMESTIC VIOLENCE,WEDNESDAY,WEST  END,99 - NONE,UNDER 18,BLACK,UNKNOWN,NA
2/21/2019 7:00,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,NA,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",51-60,BLACK,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,26-30,UNKNOWN,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,26-30,ASIAN/PACIFIC ISLAND,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,51-60,WHITE,UNKNOWN,NA
4/3/2019 2:20,I--INVESTIGATION PENDING,RAPE,01-SINGLE FAMILY 2 STORY,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,MOUNT  AUBURN,99 - NONE,ADULT (18+),WHITE,18-25,BLACK
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,51-60,WHITE,UNKNOWN,NA
3/27/2019 4:22,Z--EARLY CLOSED,VEHICULAR VANDALISM,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,NA,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",31-40,WHITE,UNKNOWN,NA
4/16/2019 11:30,D--VICTIM REFUSED TO COOPERATE,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,WALNUT HILLS,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),BLACK,26-30,ASIAN/PACIFIC ISLAND
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,26-30,ASIAN/PACIFIC ISLAND,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,51-60,UNKNOWN,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,51-60,UNKNOWN,UNKNOWN,NA
2/3/2019 20:52,Z--EARLY CLOSED,THEFT,37-GROCERY/SUPERMARKET,23C-SHOPLIFTING,N--NO BIAS/NOT APPLICABLE,SUNDAY,WALNUT HILLS,99 - NONE,UNKNOWN,NA,41-50,BLACK
4/19/2019 15:11,Z--EARLY CLOSED,THEFT,47-STREET,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,WALNUT HILLS,99 - NONE,51-60,BLACK,UNKNOWN,NA
1/14/2019 18:29,J--CLOSED,RAPE,01-SINGLE FAMILY 2 STORY,NA,N--NO BIAS/NOT APPLICABLE,THURSDAY,SEDAMSVILLE,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",ADULT (18+),WHITE,UNKNOWN,BLACK
4/18/2019 11:47,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,CORRYVILLE,U - UNKNOWN,UNKNOWN,NA,UNKNOWN,NA
2/15/2019 14:30,Z--EARLY CLOSED,THEFT,47-STREET,24I-THEFT OF LICENSE PLATE,N--NO BIAS/NOT APPLICABLE,THURSDAY,MILLVALE,99 - NONE,31-40,BLACK,UNKNOWN,NA
1/21/2019 22:59,Z--EARLY CLOSED,ASSAULT,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,MONDAY,QUEENSGATE,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",41-50,WHITE,UNKNOWN,NA
1/21/2019 11:35,Z--EARLY CLOSED,THEFT,47-STREET,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,WALNUT HILLS,99 - NONE,51-60,WHITE,UNKNOWN,NA
1/15/2019 13:37,J--CLOSED,RAPE,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,WESTWOOD,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,18-25,BLACK
1/15/2019 13:37,J--CLOSED,RAPE,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,WESTWOOD,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,18-25,BLACK
4/9/2019 23:08,I--INVESTIGATION PENDING,ASSAULT,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,NA,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",18-25,BLACK,41-50,BLACK
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,26-30,UNKNOWN,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,41-50,BLACK,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,41-50,BLACK,UNKNOWN,NA
2/11/2019 0:30,F--CLEARED BY ARREST - ADULT,DOMESTIC VIOLENCE,02-MULTI FAMILY DUPLEX,NA,N--NO BIAS/NOT APPLICABLE,MONDAY,WEST PRICE HILL,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",41-50,BLACK,UNKNOWN,NA
1/14/2019 20:03,F--CLEARED BY ARREST - ADULT,FELONIOUS ASSAULT,26-BAR,NA,N--NO BIAS/NOT APPLICABLE,MONDAY,CORRYVILLE,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",41-50,BLACK,UNKNOWN,NA
7/23/2019 9:10,NA,THEFT,25-OTHER COMMERCIAL SERVICE LOCATION,23D-THEFT FROM BUILDING,N--NO BIAS/NOT APPLICABLE,MONDAY,WINTON HILLS,99 - NONE,UNKNOWN,NA,UNKNOWN,NA
2/14/2019 14:40,F--CLEARED BY ARREST - ADULT,CRIMINAL DAMAGING/ENDANGERING,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,THURSDAY,CLIFTON,99 - NONE,18-25,BLACK,UNKNOWN,NA
1/20/2019 1:58,F--CLEARED BY ARREST - ADULT,ASSAULT,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,COLLEGE  HILL,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",31-40,BLACK,UNKNOWN,NA
4/9/2019 21:33,I--INVESTIGATION PENDING,FELONIOUS ASSAULT,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,TUESDAY,WALNUT HILLS,12 - HANDGUN,26-30,BLACK,UNKNOWN,BLACK
1/9/2019 13:25,Z--EARLY CLOSED,THEFT,28-RESTAURANT,23D-THEFT FROM BUILDING,N--NO BIAS/NOT APPLICABLE,SATURDAY,CORRYVILLE,U - UNKNOWN,UNKNOWN,NA,UNKNOWN,BLACK
7/20/2019 14:15,I--INVESTIGATION PENDING,THEFT,48-PARKING LOT,23H-ALL OTHER LARCENY,N--NO BIAS/NOT APPLICABLE,FRIDAY,ROSELAWN,99 - NONE,UNKNOWN,NA,UNKNOWN,NA
1/11/2019 14:51,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,THURSDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,WHITE,UNKNOWN,NA
2/5/2019 23:21,Z--EARLY CLOSED,THEFT,08-SCHOOL,23A-POCKET-PICKING,N--NO BIAS/NOT APPLICABLE,TUESDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,BLACK,UNKNOWN,NA
4/8/2019 12:14,Z--EARLY CLOSED,THEFT,47-STREET,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,WEST  END,99 - NONE,61-70,BLACK,UNKNOWN,NA
2/2/2019 9:58,F--CLEARED BY ARREST - ADULT,AGGRAVATED ROBBERY,28-RESTAURANT,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,CORRYVILLE,17 - SIMULATED FIREARM,UNKNOWN,NA,31-40,WHITE
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,UNKNOWN,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,UNKNOWN,UNKNOWN,NA
1/24/2019 23:14,Z--EARLY CLOSED,THEFT,26-BAR,23H-ALL OTHER LARCENY,N--NO BIAS/NOT APPLICABLE,THURSDAY,CORRYVILLE,U - UNKNOWN,18-25,WHITE,UNKNOWN,NA
3/8/2019 7:54,I--INVESTIGATION PENDING,RAPE,01-SINGLE FAMILY 2 STORY,NA,N--NO BIAS/NOT APPLICABLE,FRIDAY,FAY APARTMENTS,99 - NONE,ADULT (18+),BLACK,26-30,BLACK
3/15/2019 8:59,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,THURSDAY,AVONDALE,99 - NONE,31-40,UNKNOWN,UNKNOWN,NA
2/14/2019 2:45,K--UNFOUNDED,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,TUESDAY,WEST PRICE HILL,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,41-50,BLACK
2/14/2019 2:45,K--UNFOUNDED,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,TUESDAY,WEST PRICE HILL,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,41-50,BLACK
2/5/2019 8:34,I--INVESTIGATION PENDING,RAPE,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,FRIDAY,COLLEGE  HILL,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",JUVENILE (UNDER 18),BLACK,41-50,BLACK
3/21/2019 8:27,Z--EARLY CLOSED,THEFT,38-VARIETY/CONVENIENCE STORE,23C-SHOPLIFTING,N--NO BIAS/NOT APPLICABLE,THURSDAY,CORRYVILLE,99 - NONE,UNKNOWN,NA,UNKNOWN,NA
2/3/2019 18:27,D--VICTIM REFUSED TO COOPERATE,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,HYDE PARK,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,41-50,WHITE
2/8/2019 22:22,I--INVESTIGATION PENDING,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,FRIDAY,SAYLER  PARK,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,18-25,WHITE
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,BLACK,UNKNOWN,NA
4/14/2019 10:43,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,BLACK,UNKNOWN,NA
3/27/2019 12:31,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,77-OTHER,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,NA,99 - NONE,41-50,WHITE,UNKNOWN,NA
2/15/2019 15:14,I--INVESTIGATION PENDING,RAPE,77-OTHER,NA,N--NO BIAS/NOT APPLICABLE,FRIDAY,CAMP  WASHINGTON,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,UNKNOWN,BLACK
2/15/2019 15:14,I--INVESTIGATION PENDING,RAPE,77-OTHER,NA,N--NO BIAS/NOT APPLICABLE,FRIDAY,CAMP  WASHINGTON,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,UNKNOWN,BLACK
4/10/2019 14:21,Z--EARLY CLOSED,THEFT,47-STREET,23H-ALL OTHER LARCENY,N--NO BIAS/NOT APPLICABLE,TUESDAY,WALNUT HILLS,99 - NONE,26-30,BLACK,UNKNOWN,NA
2/14/2019 14:40,F--CLEARED BY ARREST - ADULT,ASSAULT,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,THURSDAY,CLIFTON,99 - NONE,18-25,BLACK,UNKNOWN,NA
1/12/2019 13:55,K--UNFOUNDED,RAPE,01-SINGLE FAMILY HOME,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,WEST  END,99 - NONE,ADULT (18+),BLACK,UNKNOWN,NA
1/8/2019 11:00,Z--EARLY CLOSED,THEFT,48-PARKING LOT,23G-THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,N--NO BIAS/NOT APPLICABLE,MONDAY,C. B. D. / RIVERFRONT,U - UNKNOWN,61-70,WHITE,UNKNOWN,NA
6/24/2019 21:58,I--INVESTIGATION PENDING,MURDER,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,MONDAY,NA,12 - HANDGUN,18-25,BLACK,UNKNOWN,NA
6/24/2019 21:58,I--INVESTIGATION PENDING,MURDER,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,MONDAY,NA,12 - HANDGUN,18-25,BLACK,UNKNOWN,NA
